id,clee_denue2026,clee_maryhelen_mh2,nombre_denue2026,nombre_maryhelen_mh2,cambio_clee,cambio_nombre
8559691,21074713943000111100000000U4,21074713943000111000000000U4,CLASES DE BAILE RITMOS LATINOS,CLASES DE BAILE RITMOS LATINOS,True,False
8559692,21074611621000081110000000U4,21074611621000081000000000U4,VENTA DE PALETAS SIN NOMBRE,VENTA DE PALETAS SIN NOMBRE,True,False
8560091,21074461122000561010000000U5,21074461122000561000000000U5,TIENDA SAN MIGUEL,TIENDA SAN MIGUEL,True,False
8560094,21074332310000021010000000U8,21074332310000021000000000U8,HERRERIA SANCHEZ,HERRERIA SANCHEZ,True,False
8560095,21074722412000271110000000U1,21074722412000271000000000U1,TALLER MECANICO LA COCHERA,TALLER MECANICO LA COCHERA,True,False
8560140,21074465919000071010000000U0,21074465919000071000000000U0,JARCIERIA SIN NOMBRE,JARCIERIA SIN NOMBRE,True,False
8560147,21074431211000011000000000U9,21074431211000011000000000S9,HILOS PEGAZUS ECOESTAR,HILOS PEGAZUS ECOESTAR,True,False
8603830,21074722519000621010000000U9,21074722519000621000000000U9,AMNESIA,AMNESIA,True,False
8603833,21074722513000381010000000U3,21074722513000381000000000U3,ABARROTES SAN MARTIN,ABARROTES SAN MARTIN,True,False
8603890,21074434112000421000000000U7,21074434112000421000000000S7,DISTRIBUIDORA DE ALIMENTOS CAMPI,DISTRIBUIDORA DE ALIMENTOS CAMPI,True,False
8632783,21074311923000013011000000U0,21074311923000013000000000U0,FALANX,FALANX,True,False
8657619,21074467115000421100000000U0,21074467115000421000000000U0,PRODUCTOS DE LIMPIEZA ABRIL,PRODUCTOS DE LIMPIEZA ABRIL,True,False
8691992,21074333411000013001000000U0,21074333411000013000000000U0,TROX TECHNIK,TROX TECHNIK,True,False
8692045,21074431160000021001000000U7,21074431160000021000000000U7,MP FARGUZ,MP FARGUZ,True,False
8692049,21074811499000183001000000U7,21074811499000183000000000U7,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
8692098,21074464113000191010000000U7,21074464113000191000000000U7,HERBALIFE,HERBALIFE,True,False
8692099,21074541430000062111000000U5,21074541430000062000000000U5,PUBLICIDAD Y TEXTILES,PUBLICIDAD Y TEXTILES,True,False
8692100,21074435110000021110000000U8,21074435110000021000000000U8,CASA GARNICA,CASA GARNICA,True,False
8692101,21074562111000021001000000U1,21074562111000021000000000U1,CENTRO DE ACOPIO DE RESIDUOS PELIGROSOS PESA,CENTRO DE ACOPIO DE RESIDUOS PELIGROSOS PESA,True,False
8718752,21074313310000061010000000U7,21074313310000061000000000U7,MAQUILA SIN NOMBRE,MAQUILA SIN NOMBRE,True,False
8776756,21074465311001871010000000U2,21074465311001871000000000U2,TIENDA ERANDI,TIENDA ERANDI,True,False
8776861,21074461110008371010000000U6,21074461110008371000000000U6,DESHEBRADO DE PANTALON,DESHEBRADO DE PANTALON,True,False
8776908,21074561431000191010000000U5,21074561431000191000000000U5,VENTA DE ROPA Y LENCERIA SIN NOMBRE,VENTA DE ROPA Y LENCERIA SIN NOMBRE,True,False
8776952,21074315229002131001000000U6,21074315229002131000000000U6,ELABORACION DE PANTALON,ELABORACION DE PANTALON,True,False
8777006,21074315229002152001000000U2,21074315229002152000000000U2,MAQUILADORA SIN NOMBRE,MAQUILADORA SIN NOMBRE,True,False
8777013,21074811219000091100000000U4,21074811219000091000000000U4,SMART SOLUTION,SMART SOLUTION,True,False
8777372,21074461190000481010000000U3,21074461190000481000000000S3,EXPENDIO DE PAN MONSE,EXPENDIO DE PAN MONSE,True,False
8777373,21074311830001791010000000U7,21074311830001791000000000U7,TEXTILERA,TEXTILERA,True,False
