id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica
10183338,21074315225000241000000000U3,TALLER DE COSTURA Y VENTA DE HUARACHES SIN NOMBRE,315225,19.16037523,-98.40969749,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000241000000000u3 taller de costura y venta de huaraches sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,costura,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10205167,21074313210000083000000000U3,BODEGA PUNTO FINO EN TELAS,313210,19.16269282,-98.38682009,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313210000083000000000u3 bodega punto fino en telas 313210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10279073,21074812210000841000000000U0,LAVANDERIA SIN NOMBRE,812210,19.17748238,-98.39006779,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000841000000000u0 lavanderia sin nombre 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10340864,21074812210000731000000000U3,TINTOWASH,812210,19.16123838,-98.40864821,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000731000000000u3 tintowash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10414011,21074315224000071000000000U7,ELABORACION DE MASCARAS ARTESANALES,315224,19.16203436,-98.39986232,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315224000071000000000u7 elaboracion de mascaras artesanales 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10501043,21074812210000801000000000U4,LAVANDERIA RAPIDI WUASH,812210,19.14960063,-98.40921251,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000801000000000u4 lavanderia rapidi wuash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10523798,21074811499000291000000000U8,CONFECCIONES Y COSTURAS ZIC ZAC,811499,19.16107157,-98.40428645,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811499000291000000000u8 confecciones y costuras zic zac 811499 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811499,confeccion; costura,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10799209,21074811410000291000000000U5,REPARADORA DE LAVADORAS,811410,19.13788635,-98.41426237,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811410000291000000000u5 reparadora de lavadoras 811410 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811410,lavado,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10819893,21074314991000251000000000U0,BORDADOS SIN NOMBRE,314991,19.15990025,-98.40534525,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074314991000251000000000u0 bordados sin nombre 314991 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,314991,bordado,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10866423,21074812210000943000000000U4,LAVANDERIA SAN JOSE,812210,19.17149897,-98.40465013,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000943000000000u4 lavanderia san jose 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
