id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,municipio,etapa_productiva_sugerida,distancia_hidrografia_m,_id_key,nombre_mapa,comparacion,fuente_mapa
10816501,21074812210000621000000000U6,LAVANDERIA LA BURBUJA LOCA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,36.71421014825283,10816501,LAVANDERIA LA BURBUJA LOCA,solo_universo_actual,universo_actual
10978442,21074812210000741000000000U2,MAGIC WASH SERVICIOS,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,754.4336315324291,10978442,MAGIC WASH SERVICIOS,solo_universo_actual,universo_actual
11032714,21074312112000281000000000U2,LAVADO DE BOTELLAS,312112,Huejotzingo,Huejotzingo,lavado_deslavado,160.54712001055805,11032714,LAVADO DE BOTELLAS,solo_universo_actual,universo_actual
11194114,21074812210000891000000000U5,ATM LAVANDERIA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,478.43580887451094,11194114,ATM LAVANDERIA,en_ambos,universo_actual
11341938,21074812210000661000000000U2,LAVANDERIA KLING,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,80.64136624894363,11341938,LAVANDERIA KLING,en_ambos,universo_actual
11495272,21074812210000881000000000U6,LAVANDERIA EASY WASH,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,239.68415433557706,11495272,LAVANDERIA EASY WASH,solo_universo_actual,universo_actual
11499902,21074812210000611000000000U7,LAVANDERIA ATENDERTE ES UN PLACER,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,46.27071678612237,11499902,LAVANDERIA ATENDERTE ES UN PLACER,solo_universo_actual,universo_actual
11580049,21074812210000901000000000U2,LAVANDERIA PLANCHADO Y TINTORERIA BUDY 24,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,17.606644656624738,11580049,LAVANDERIA PLANCHADO Y TINTORERIA BUDY 24,solo_universo_actual,universo_actual
11684425,21074812210000701000000000U6,LAVANDERIA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,541.6830187665789,11684425,LAVANDERIA,solo_universo_actual,universo_actual
3263505,21132812210000241000000000U9,LAVANDERIA MILY,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,313.75907021354396,3263505,LAVANDERIA MILY,solo_universo_actual,universo_actual
