mh_row_id,Name,DENUE,ID DENUE,_id_key,situacion_comparativa,razon_no_es_mi_prioritario,en_denue2026_base,en_mi_clasificacion_textil_2026,en_mi_universo_prioritario_2026,en_mi_santa_actual,dist_m_mh_vs_denue2026,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,municipio,localidad,categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,decision_alcance_proyecto,flag_universo_alcance_proyecto,flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_cercania_hidrografia_250m,distancia_hidrografia_m,evidencia_clasificacion,palabras_clave_etapa,motivo_flag_estudio_prioritario,motivo_universo_alcance_proyecto,motivo_exclusion_prioritaria,motivo_auditoria
21,22,1,3427887.0,3427887,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,10.635045661601863,3427887,21074315229001142001000000U4,TALLER DE MAQUILA HOJALEADORA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,675.6018178581392,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
22,23,1,3427899.0,3427899,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,19.883112680368125,3427899,21074315229000831002000000U3,TALLER DE MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,709.2462567561888,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
23,24,1,3326144.0,3326144,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,0.6749817520885553,3326144,21074315229001331001000000U3,MAQUILA DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,573.2530416583745,"SCIAN 315229 | maquila: maquila | confeccion: ropa, pantalon",maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
24,25,0,,,sin_id_denue_en_mh,La capa MH no trae ID DENUE; no se puede validar contra DENUE registro a registro.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,1,10398573.0,10398573,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,1.4975861769880336,10398573,21074315229002952000000000U5,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,619.7027806022425,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
26,27,1,3326133.0,3326133,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,0.9196861403309302,3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,486.9181072006298,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
27,28,1,8090624.0,8090624,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,147.55396719513834,8090624,21074315229001991000000000U4,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,588.6979617508172,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
28,29,1,3428151.0,3428151,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,6.722650035996958,3428151,21074315229001371002000000U9,MAQUILA DE PANTALON DE MESCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,524.2340826878153,"SCIAN 315229 | maquila: maquila | confeccion: ropa, pantalon",maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
29,30,1,11119257.0,11119257,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,20.87763851482031,11119257,21074315123000031000000000U5,TERMINADO DE COSTURA SIN NOMBRE,315123,Fabricaci�n de ropa exterior de tejido de punto,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,439.435691858927,"SCIAN 315123 | confeccion: ropa, costura",,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
30,31,1,11313187.0,11313187,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,15.604557234001014,11313187,21074315229002392000000000U4,MAQUILLADORA SOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,337.2495113190154,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
