_id_key,id,en_universo_actual_santa,en_filtrado_2026_santa,en_mh_filtrado,en_denue2026_base,en_clasificacion_2026,conjunto_comparativo,comparacion,fuente_mapa,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,municipio,localidad,categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,decision_alcance_proyecto,presion_ambiental_potencial,confianza_clasificacion,flag_universo_alcance_proyecto,flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_cercania_hidrografia_250m,distancia_hidrografia_m,evidencia_clasificacion,palabras_clave_etapa,motivo_flag_estudio_prioritario,motivo_universo_alcance_proyecto,motivo_exclusion_prioritaria,motivo_auditoria,mh_name,mh_denue_flag,mh_id_denue,nombre_mapa,membresia,senales_resumen,lectura_auditoria
11303687,11303687,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315223001141000000000U9,MAQUILADORA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,True,238.85198557848463,"SCIAN 315229 | industrial: maquiladora | maquila: maquila, maquiladora | confeccion: ropa",maquila; maquiladora,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,cercania a hidrografia requiere cautela documental; maquila o confeccion productiva sin senal humeda,43,1.0,11303687.0,MAQUILADORA,MH filtrado,maquila; cercania <=250m hidrografia,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11313187,11313187,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002392000000000U4,MAQUILLADORA SOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,337.2495113190154,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,31,1.0,11313187.0,MAQUILLADORA SOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11359086,11359086,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315223000331000000000U7,MAQUILA SIN NOMBRE,315223,Confecci�n en serie de uniformes,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,793.6359946340853,SCIAN 315223 | maquila: maquila,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,9,1.0,11359086.0,MAQUILA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11444709,11444709,False,True,False,True,True,solo_2026,solo_2026,union_conjuntos,21074221312000021000000000U8,AGUA POTABLE COAPAXAL,221312,"Captaci�n, tratamiento y suministro de agua realizados por el sector p�blico",6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,acabado_textil,incluir_prioritario,dentro_alcance_proyecto,alta,alta,True,True,True,False,False,False,True,False,False,681.5176854147586,acabado_tratamiento: tratamiento,tratamiento,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento,,,,,,AGUA POTABLE COAPAXAL,filtrado 2026 Santa,proceso humedo; acabado/tratamiento,Nuevo candidato del filtrado 2026 que tambien aparece en MH filtrado.
11521781,11521781,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002362000000000U7,MAQUILLADORA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,543.3748419759451,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,38,1.0,11521781.0,MAQUILLADORA,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11528292,11528292,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002771000000000U9,MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,417.22267302070065,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,40,1.0,11528292.0,MAQUILA,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
3326066,3326066,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,812210,Lavander�as y tintorer�as,11 a 30 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,True,False,False,False,False,256.2569114830823,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVANDERIA LAVAPLUS,actual Santa; filtrado 2026 Santa,proceso humedo; lavado/deslavado,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
3326133,3326133,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,486.9181072006298,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,27,1.0,3326133.0,DESEBRADO DE BLUSA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
3326137,3326137,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,media,media,True,True,False,True,False,False,False,True,False,687.6160314179333,"SCIAN 315229 | mezclilla_jeans: jeans | maquila: maquila | confeccion: ropa, pantalon",jeans; maquila,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo,,,,MAQUILA DE PANTALON FOSIL JEANS,actual Santa; filtrado 2026 Santa,mezclilla/jeans; maquila,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
3326144,3326144,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229001331001000000U3,MAQUILA DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,573.2530416583745,"SCIAN 315229 | maquila: maquila | confeccion: ropa, pantalon",maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,24,1.0,3326144.0,MAQUILA DE PANTALON,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
