cluster,rasgo,n,conteo,prevalencia_cluster,prevalencia_global,diferencia_pp,lift,log2_lift,odds_ratio,IC95,p_fisher,p_BH,estado_celda
CLUSTER_009,produccion,30,6,0.2,0.1219451371571072,7.8054862842892705,1.6400817995910022,0.7137677715026867,1.810041407867495,"[0.804, 4.58]",0.2539842654499922,0.4696651520076916,FILTRADO_POR_CRITERIO
CLUSTER_009,maquila,30,3,0.1,0.1468827930174563,-4.68827930174563,0.6808149405772497,-0.5546653973755402,0.6435343193022374,"[0.241, 2.25]",0.6099175803788326,0.8816375019289009,NO_SOBRERREPRESENTADO
CLUSTER_009,proceso_seco_explicito,30,3,0.1,0.1605985037406483,-6.05985037406483,0.6226708074534162,-0.6834584516596965,0.5787831513260531,"[0.217, 2.02]",0.4621023507693113,0.7216392875027601,NO_SOBRERREPRESENTADO
CLUSTER_009,scian_textil,30,30,1.0,0.6044887780548629,39.55112219451371,1.654290429042904,0.7262125378693316,inf,"[2.47, 661]",3.8001114590461684e-07,1.8566258842768424e-06,SOBRERREPRESENTADO
CLUSTER_009,scian_acabado_humedo,30,0,0.0,0.0084788029925187,-0.8478802992518699,0.0,,0.0,"[0.112, 31.3]",1.0,1.0,NO_SOBRERREPRESENTADO
CLUSTER_009,scian_lavanderia,30,0,0.0,0.3955112219451371,-39.55112219451371,0.0,,0.0,"[0.00151, 0.405]",3.8001114590461684e-07,1.8566258842768424e-06,NO_SOBRERREPRESENTADO
CLUSTER_009,actividad_lavanderia_tintoreria,30,0,0.0,0.3955112219451371,-39.55112219451371,0.0,,0.0,"[0.00151, 0.405]",3.8001114590461684e-07,1.8566258842768424e-06,NO_SOBRERREPRESENTADO
CLUSTER_009,actividad_acabado_textil,30,0,0.0,0.0084788029925187,-0.8478802992518699,0.0,,0.0,"[0.112, 31.3]",1.0,1.0,NO_SOBRERREPRESENTADO
CLUSTER_009,actividad_confeccion,30,5,0.1666666666666666,0.3895261845386533,-22.28595178719866,0.4278702518139138,-1.2247547175208529,0.3112395632626846,"[0.133, 0.845]",0.0133552584698937,0.0367967838389956,NO_SOBRERREPRESENTADO
CLUSTER_009,actividad_fabricacion_telas,30,0,0.0,0.0386533665835411,-3.86533665835411,0.0,,0.0,"[0.0245, 6.63]",0.6291446888730561,0.8816375019289009,NO_SOBRERREPRESENTADO
CLUSTER_009,actividad_tejido_hilado,30,24,0.8,0.0895261845386533,71.04738154613467,8.935933147632312,3.159618392631869,43.52238805970149,"[17.1, 98]",1.2293938017456487e-20,1.2740990309000362e-19,SOBRERREPRESENTADO
