cluster_a,cluster_b,distancia_coseno,distancia_js,distancia_combinada,senales_compartidas,scian3_compartidos,diferencias_principales
CLUSTER_017,CLUSTER_018,0.17296867213950784,0.4030604731515702,0.288014572645539,scian_textil:59.4% | actividad_confeccion:40.6% | proceso_seco_explicito:24.4% | textil:24.4% | actividad_lavanderia_tintoreria:13.3%,315:40.6% | 812:13.3% | 314:2.2%,actividad_confeccion:43.8pp | scian_lavanderia:27.3pp | actividad_lavanderia_tintoreria:27.3pp
CLUSTER_012,CLUSTER_014,0.15893786832906076,0.41998009835426947,0.2894589833416651,scian_textil:64.3% | textil:42.9% | actividad_confeccion:42.9% | proceso_seco_explicito:42.9% | produccion:21.4%,315:42.9% | 812:7.1% | 314:4.9%,actividad_confeccion:41.1pp | lavado_generico:29.9pp | actividad_lavanderia_tintoreria:28.6pp
CLUSTER_018,CLUSTER_019,0.1937386290596973,0.38533853338738433,0.2895385812235408,scian_textil:59.4% | actividad_confeccion:40.6% | textil:39.0% | proceso_seco_explicito:23.0% | produccion:18.8%,315:40.6% | 314:9.0% | 812:9.0%,maquila:40.9pp | actividad_confeccion:35.4pp | actividad_lavanderia_tintoreria:31.6pp
CLUSTER_004,CLUSTER_006,0.06231977736147887,0.5183124217358149,0.2903160995486469,scian_textil:92.9% | maquila:60.7% | actividad_confeccion:40.0% | textil:20.0% | produccion:7.1%,315:40.0% | 314:7.1%,actividad_confeccion:38.6pp | maquila:19.3pp | textil:8.6pp
CLUSTER_009,CLUSTER_019,0.31528782147239554,0.2653900173941183,0.29033891943325696,scian_textil:91.0% | produccion:20.0% | actividad_confeccion:16.7% | textil:16.7% | maquila:10.0%,315:80.0% | 314:3.3%,actividad_tejido_hilado:76.0pp | actividad_confeccion:59.3pp | maquila:34.0pp
CLUSTER_013,CLUSTER_018,0.17800439185586692,0.40685781110561986,0.29243110148074336,scian_textil:59.4% | textil:46.9% | actividad_confeccion:40.6% | proceso_seco_explicito:28.1% | produccion:9.4%,315:40.6% | 812:8.1% | 314:6.7%,actividad_confeccion:40.6pp | maquila:33.8pp | actividad_lavanderia_tintoreria:32.6pp
CLUSTER_005,CLUSTER_010,0.44691922020583363,0.145626516932285,0.2962728685690593,scian_textil:93.9% | produccion:12.1% | maquila:9.2% | actividad_tejido_hilado:9.1% | actividad_lavanderia_tintoreria:3.5%,315:87.9% | 812:3.5% | 313:0.7%,actividad_tejido_hilado:86.0pp | actividad_confeccion:78.1pp | maquila:54.5pp
CLUSTER_005,CLUSTER_009,0.31995906446387357,0.28068240262750604,0.3003207335456898,scian_textil:93.9% | textil:16.7% | actividad_confeccion:16.7% | produccion:12.1% | maquila:10.0%,315:87.9%,actividad_tejido_hilado:70.9pp | actividad_confeccion:62.1pp | maquila:53.6pp
CLUSTER_007,CLUSTER_016,0.2325936967295894,0.3688705887963235,0.30073214276295646,scian_textil:55.6% | actividad_confeccion:31.3% | textil:21.6% | actividad_lavanderia_tintoreria:15.7% | scian_lavanderia:15.7%,315:34.3% | 812:15.7% | 314:8.1%,maquila:42.1pp | actividad_confeccion:39.3pp | actividad_lavanderia_tintoreria:28.8pp
CLUSTER_012,CLUSTER_018,0.16665572277406626,0.4388827198974335,0.3027692213357499,scian_textil:59.4% | textil:46.9% | actividad_confeccion:40.6% | proceso_seco_explicito:28.1% | produccion:18.8%,315:40.6% | 812:7.1% | 314:4.9%,actividad_confeccion:43.3pp | scian_lavanderia:33.5pp | actividad_lavanderia_tintoreria:33.5pp
