id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado
10315374,21132811192001261000000000U7,AUTO LAVADO SIN NOMBRE,811192,19.26415551,-98.40985539,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001261000000000u7 auto lavado sin nombre 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10323669,29015811192000251000000000U8,AUTOLAVADO RIGOS,811192,19.30916038,-98.3807529,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29015811192000251000000000u8 autolavado rigos 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10376993,21132463211005731000000000U4,BOUTIQUE NAOMY JEANS,463211,19.28738659,-98.44705225,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132463211005731000000000u4 boutique naomy jeans 463211 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,463211
10470373,21132315223000331000000000U3,UNDOR TIENDA DE FABRICA,315223,19.28812889,-98.43447416,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132315223000331000000000u3 undor tienda de fabrica 315223 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315223
10515773,21132811192001151000000000U0,AUTOLAVADO DANIEL,811192,19.28860308,-98.4316598,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001151000000000u0 autolavado daniel 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10527109,21132811192001311000000000U0,AUTOLAVADO SIN NOMBRE,811192,19.2878607,-98.44379391,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001311000000000u0 autolavado sin nombre 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10530241,21132811192001241000000000U9,AUTO LAVADO EL GRILLO,811192,19.26443538,-98.40824695,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001241000000000u9 auto lavado el grillo 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10541726,21132811192001451000000000U4,AUTO LAVADO STAR WARS,811192,19.2830834,-98.44142629,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001451000000000u4 auto lavado star wars 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10560545,21132811192001471000000000U2,AUTO LAVADO EL PATO,811192,19.30686785,-98.46616603,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001471000000000u2 auto lavado el pato 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10605493,21132466111000951000000000U2,ALTA COSTURA MAQUINAS JACAV,466111,19.28568723,-98.43934402,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132466111000951000000000u2 alta costura maquinas jacav 466111 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,466111
10645582,21132466112000531000000000U0,BORDADORA SAN MARTIN,466112,19.30531178,-98.45690017,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132466112000531000000000u0 bordadora san martin 466112 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,466112
10743501,21143811192000181000000000U5,AUTOLAVADO SIN NOMBRE,811192,19.30832333,-98.47430831,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21143811192000181000000000u5 autolavado sin nombre 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10774544,21132811192001301000000000U1,AUTOLAVADO HUSKY,811192,19.28375347,-98.44560548,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001301000000000u1 autolavado husky 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
11042858,21132463211006771000000000U9,BOUTIQUE DEVIL JEANS,463211,19.28367639,-98.43420911,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132463211006771000000000u9 boutique devil jeans 463211 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,463211
11059809,21132467112000401000000000U5,MULTI ACABADOS VALTERRA,467112,19.28323768,-98.43091867,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132467112000401000000000u5 multi acabados valterra 467112 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,467112
11214994,21132811192001411000000000U8,AUTO LAVADO JHOYA,811192,19.3052646,-98.45328556,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001411000000000u8 auto lavado jhoya 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
11246966,21132811192001441000000000U5,AUTOLAVADO SAMAEL,811192,19.2771815,-98.4472917,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001441000000000u5 autolavado samael 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
11267117,29019463111000141000000000U4,VENTA DE TELAS BLUE DENIM,463111,19.28150771,-98.39521416,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019463111000141000000000u4 venta de telas blue denim 463111 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,463111
11404203,21143811192000191000000000U4,AUTO LAVADO LA CURVA,811192,19.26515301,-98.47975775,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21143811192000191000000000u4 auto lavado la curva 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
11523054,21132811192001251000000000U8,AUTOLAVADO SIN NOMBRE,811192,19.28202752,-98.42546398,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001251000000000u8 autolavado sin nombre 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10446307,21132811192001281000000000U5,AUTO LAVADO POMPIN,811192,19.30599382,-98.46102554,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001281000000000u5 auto lavado pompin 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
3427242,21074811192000051000000000U7,AUTO LAVADO MARTINEZ,811192,19.20650295,-98.38169395,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000051000000000u7 auto lavado martinez 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
