grupo_espacial,scian_6,n,pct_grupo
CLUSTER_021,812210,13,41.935483870967744
RUIDO_DISPERSO,313111,5,0.8650519031141869
RUIDO_DISPERSO,313112,4,0.6920415224913494
RUIDO_DISPERSO,313113,4,0.6920415224913494
RUIDO_DISPERSO,313210,13,2.2491349480968856
RUIDO_DISPERSO,313220,1,0.17301038062283736
RUIDO_DISPERSO,313230,2,0.3460207612456747
RUIDO_DISPERSO,313240,3,0.5190311418685121
RUIDO_DISPERSO,313310,4,0.6920415224913494
RUIDO_DISPERSO,313320,1,0.17301038062283736
RUIDO_DISPERSO,314110,3,0.5190311418685121
RUIDO_DISPERSO,314120,26,4.498269896193771
RUIDO_DISPERSO,314911,1,0.17301038062283736
RUIDO_DISPERSO,314912,14,2.422145328719723
RUIDO_DISPERSO,314991,19,3.28719723183391
RUIDO_DISPERSO,314992,2,0.3460207612456747
RUIDO_DISPERSO,314993,4,0.6920415224913494
RUIDO_DISPERSO,314999,1,0.17301038062283736
RUIDO_DISPERSO,315121,27,4.671280276816609
RUIDO_DISPERSO,315122,1,0.17301038062283736
RUIDO_DISPERSO,315123,7,1.2110726643598615
RUIDO_DISPERSO,315221,6,1.0380622837370241
RUIDO_DISPERSO,315222,7,1.2110726643598615
RUIDO_DISPERSO,315223,39,6.747404844290657
RUIDO_DISPERSO,315224,10,1.7301038062283738
RUIDO_DISPERSO,315225,47,8.131487889273357
RUIDO_DISPERSO,315229,128,22.14532871972318
RUIDO_DISPERSO,315991,3,0.5190311418685121
RUIDO_DISPERSO,315999,3,0.5190311418685121
RUIDO_DISPERSO,812210,193,33.391003460207614
