_id_key,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,categoria_foco_textil,senales_foco_textil,comparacion_mh_foco,fuente_comparacion,nombre_mapa,Name,DENUE,ID DENUE
10865960,10865960,21074315223000081000000000U8,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10381674,10381674,21074315223000801000000000U9,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10295902,10295902,21074315229002891000000000U5,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion; cercania <=250m hidrografia,solo_foco,foco_textil,MAQUILA,,,
10676987,10676987,21074315223000681000000000U5,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10264760,10264760,21074315223000821000000000U7,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11129024,11129024,21074315223000131000000000U1,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11515213,11515213,21074315229002431000000000U0,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10676082,10676082,21074315223000541000000000U1,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
9655873,9655873,21074315223001062000000000U7,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11185488,11185488,21074315223000311000000000U9,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
