id,clee,localidad,etapa_productiva_sugerida,decision_estudio_sugerida,flag_estudio_prioritario
10151046,21074315223000641000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10016740,21074315229002861000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10543399,21074315223000251000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11676707,21074315229002371000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11355400,21074315223000121000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11230023,21074315223000161000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089321,21074313310000081010000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11461415,21074315223000462000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11666606,21074315229002781000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11255997,21074315223000811000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11273664,21074315223000141000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11119679,21074315223000201000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8776952,21074315229002131001000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3538483,21074315229001255003000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11303687,21074315223001141000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9496523,21074315223001132000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10394844,21074315229002831000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9890969,21074315229002451000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9894257,21074315229002661000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11310014,21074315229002331000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10267780,21074315223001091000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089267,21074315229001831000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11450697,21074315123000051000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089214,21074315229001761010000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8090624,21074315229001991000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9758856,21074315229002651000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9552490,21074315223000551000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
6450047,21074315229000221000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11290346,21074315229002791000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11289661,21074315223000981000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10786863,21074315223000772000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11218866,21074315229002481000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10381013,21074315229002931000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11492967,21074315229002701000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10642697,21074315223000921000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10749897,21074315223000611000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9577301,21074315223000061000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10318667,21074315223000701000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10398573,21074315229002952000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10655916,21074315229002561000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9737328,21074315229002871000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11537868,21074315229002641000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10170954,21074315229002471000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11359086,21074315223000331000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10217042,21074315223001001000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10855925,21074315223000181000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8718752,21074313310000061010000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428048,21074315229000581000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8088970,21074315229001671000000000U2,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
8088968,21074315229001651000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10579458,21074315229002422000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
6379033,21074313112000046000000000U8,El Carmen [Parque Industrial],fabricacion_textil,incluir_contexto_productivo,False
10262715,21074313310000111000000000U0,Santa Ana Xalmimilulco,acabado_textil,incluir_prioritario,True
10724349,21074315229002943000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428321,21074812210000051011000000U6,Santa Ana Xalmimilulco,lavanderia_industrial,incluir_prioritario,True
11084020,21074315229002962000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11313187,21074315229002392000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10815242,21074315229002311000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11352441,21074315229002761000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
