escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac
hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,13,367,8.407789232531501,53,155.0,307.53846153846155,2236,51.22565864833906,50.0,eom,0.9157690714567437,81.3656828414207,,
hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,27,1823,41.764032073310425,50,93.0,94.14814814814815,211,4.833906071019473,50.0,leaf,0.9201841844431711,86.11329661683713,,
hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,10,469,10.744558991981673,53,202.5,389.6,2152,49.30126002290951,50.0,eom,0.9141959625133926,81.1858316221766,,
hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,19,1990,45.58991981672394,50,100.0,125.0,337,7.720504009163803,50.0,leaf,0.869299019722929,74.14736842105263,,
hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,9,304,6.964490263459336,79,211.0,451.22222222222223,2310,52.92096219931271,75.0,eom,0.9109590507430939,82.76286628909135,,
hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,17,1944,44.53608247422681,75,127.0,142.41176470588235,340,7.789232531500573,75.0,leaf,0.9158823565124897,85.87360594795538,,
hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,9,418,9.576174112256588,79,211.0,438.55555555555554,2236,51.22565864833906,75.0,eom,0.9278367855632064,83.27843932100329,,
hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,18,1781,40.801832760595644,79,119.0,143.55555555555554,337,7.720504009163803,75.0,leaf,0.919483883709198,83.32043343653251,,
hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,9,522,11.958762886597938,79,211.0,427.0,2152,49.30126002290951,75.0,eom,0.9324783882636599,85.84439240176945,,
hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,15,2208,50.58419243986254,79,119.0,143.8,337,7.720504009163803,75.0,leaf,0.9038990663402514,81.64116828929068,,
optics__min_samples-10__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,10,4365,28,2628,60.20618556701031,43,60.0,62.035714285714285,93,2.1305841924398625,,,,,0.05,0.01
optics__min_samples-20__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,20,4365,21,2710,62.08476517754868,45,62.0,78.80952380952381,340,7.789232531500573,,,,,0.05,0.01
optics__min_samples-30__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,30,4365,18,2685,61.512027491408936,43,75.5,93.33333333333333,340,7.789232531500573,,,,,0.05,0.01
