d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica
10152379,21074812210000871000000000U7,LAVANDERIA LA ESTRELLA,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,EMILIANO ZAPATA,PRIVADA,NINGUNO,PRIVADA,SEGUNDA DE CARDENAS,CALLE,EMILIANO ZAPATA,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,043,2228312123,,,Fijo,19.15997503,-98.40013346,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8089409,21074812210000441000000000U9,LAVANDERIA LONDRY CLOTHER,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,VICENTE GUERRERO,CALLE,ALDAMA,CALLE,JOSE MARIA MORELOS,CALLE,AVENIDA LAS HUERTAS,512,,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,020,,,,Fijo,19.16213214,-98.40508793,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8121076,21074812210000511000000000U9,LAVANDERIA LUPITA,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,NEZAHUALCOYOTL,AVENIDA,INSURGENTES,AVENIDA,EL CARMEN,CALLE,MOCTEZUMA,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,043,,,,Fijo,19.1478766,-98.40352832,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
11580049,21074812210000901000000000U2,LAVANDERIA PLANCHADO Y TINTORERIA BUDY 24,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,AVENIDA LAS HUERTAS,CALLE,ALDAMA,CALLE,JOSE MARIA MORELOS,AVENIDA,VICENTE GUERRERO,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,020,2227176165,,,Fijo,19.16172427,-98.40434779,2024-11,True,True,False,False,True,True,False,False,True,False,False,True,REVISAR,REVISAR
10501043,21074812210000801000000000U4,LAVANDERIA RAPIDI WUASH,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,LA SOLEDAD,AVENIDA,ANAYA,CALLE,MOCTEZUMA,AVENIDA,CARRIZAL,,SN,,,,,BARRIO,SEGUNDO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0152,011,,,,Fijo,19.14960063,-98.40921251,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10664588,21074812210000821000000000U2,LAVANDERIA RAPIDIWASH,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,MIGUEL HIDALGO,CALLE,CAMELIA,CALLE,AMADO NERVO,AVENIDA,LA SOLEDAD,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,014,,,,Fijo,19.15452388,-98.40785828,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10866423,21074812210000943000000000U4,LAVANDERIA SAN JOSE,,812210,Lavanderías y tintorerías,11 a 30 personas,CALLE,ZAYAS,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,BARRIO,CUARTO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,800,2271212571,,,Fijo,19.17149897,-98.40465013,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
3326451,21074812210000281000000000U9,LAVANDERIA SAN MIGUEL,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,FRANCISCO SARABIA,CALLE,16 DE SEPTIEMBRE,CALLE,MARIANO ESCOBEDO,AVENIDA,PABLO L SIDAR,9,,,,,,BARRIO,SEGUNDO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,023,,,,Fijo,19.15846229,-98.41079496,2014-12,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10772217,21074812210000761000000000U0,LAVANDERIA SAN MIGUELITO,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,LEONA VICARIO,CALLE,JUVENTINO ROSAS,AVENIDA,12 DE OCTUBRE,,SN,,,,,BARRIO,TERCER BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0114,007,2271157448,,,Fijo,19.16578262,-98.41156165,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
9492182,21074812210000691000000000U9,LAVANDERIA SIN NOMBRE,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,EL CARMEN,CALLE,MOCTEZUMA,CALLE,RANCHO PALACIOS,AVENIDA,LA PERLA,1805,,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0148,013,,,,Fijo,19.14598604,-98.40430462,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8592165,21074812210000571000000000U3,LAVANDERIA SUNNY CLEAN,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,LA SOLEDAD,CALLE,CAMELIA,CALLE,AMADO NERVO,AVENIDA,COMONFORT,515,,,,,,BARRIO,SEGUNDO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,015,2276880461,,,Fijo,19.15472383,-98.40865163,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
3325844,21074812210000321000000000U3,LAVANDERIA SUNY CLEAN,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,JOSE MARIA MORELOS,CALLE,AVENIDA LAS HUERTAS,AVENIDA,VICENTE GUERRERO,CALLE,ALDAMA,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,020,,,,Fijo,19.16115304,-98.40450336,2014-12,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10408987,21074812210000652000000000U1,LAVANDERIA TORRES,,812210,Lavanderías y tintorerías,6 a 10 personas,AVENIDA,SAN ANTONIO,CALLE,AYALA,CALLE,16 DE SEPTIEMBRE,CALLE,16 DE SEPTIEMBRE,307,,,,,,COLONIA,SANTA ELENA,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,044,2272762891,,,Fijo,19.16014431,-98.4175128,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10978442,21074812210000741000000000U2,MAGIC WASH SERVICIOS,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,FEDERAL MEXICO PUEBLA,AVENIDA,CUAUHTEMOC,AVENIDA,LOS ARCOS,CALLE,NEZAHUALCOYOTL,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,022,,,,Fijo,19.14958454,-98.40537115,2024-11,True,False,False,False,False,False,False,False,False,False,False,True,REVISAR,REVISAR
8271825,21074812210000401000000000U3,TINTORERIA HIGIENICA,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,12 DE OCTUBRE,CALLE,AYALA,CALLE,REFORMA,CALLE,20 DE NOVIEMBRE,,SN,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,014,2225540544,,,Fijo,19.16117536,-98.41133705,2019-11,True,True,False,False,True,False,False,False,False,False,False,True,REVISAR,REVISAR
3419622,21074812210000061000000000U5,TINTORERIA LUCY,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,CUAUHTEMOC,CALLE,JUSTO SIERRA,CALLE,JUAN DE DIOS PEZA,AVENIDA,EL CARMEN,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,018,2271190172,,,Fijo,19.15379417,-98.40422707,2010-07,True,True,False,False,True,False,False,False,False,False,False,True,REVISAR,REVISAR
8803988,21074812210000561000000000U4,TINTORERIA SANTIAGO,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,LA SOLEDAD,CALLE,CAMELIA,CALLE,AMADO NERVO,AVENIDA,MIGUEL HIDALGO,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,014,,,,Fijo,19.15485774,-98.40856363,2019-11,True,True,False,False,True,False,False,False,False,False,False,True,REVISAR,REVISAR
8089467,21074812210000461100000000U7,TINTORERIA SANTIAGO JACOBO,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,PORFIRIO DIAZ,CALLE,JAIME NUNO,CALLE,AYALA,AVENIDA,GUADALUPE VICTORIA,530,,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,003,2271470559,,,Fijo,19.16274612,-98.40769441,2019-11,True,True,False,False,True,False,False,False,False,False,False,True,REVISAR,REVISAR
9522648,21074812210000591000000000U1,TINTOWASH,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,MIGUEL JERONIMO MARTINEZ,CALLE,CORREGIDORA,CALLE,HERMENEGILDO GALEANA,AVENIDA,5 DE MAYO,1103,,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,004,2224637100,,,Fijo,19.16599298,-98.40553468,2024-11,True,False,False,False,False,False,False,False,False,False,False,True,REVISAR,REVISAR
10340864,21074812210000731000000000U3,TINTOWASH,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,GUADALUPE VICTORIA,CALLE,AYALA,CALLE,REFORMA,AVENIDA,PORFIRIO DIAZ,377,,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,004,,,,Fijo,19.16123838,-98.40864821,2024-11,True,False,False,False,False,False,False,False,False,False,False,True,REVISAR,REVISAR
