escenario_a,escenario_b,ari
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-eom,0.45926016711640416
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-leaf,0.3075616066832899
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-eom,0.4357487074819406
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-leaf,0.2951796000897726
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-eom,0.41137952349023116
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-leaf,0.4468206129917961
dbscan__eps_m-250__min_samples-15,optics__min_samples-10__xi-0p05__min_cluster_size_frac-0p01,0.15204725204080882
dbscan__eps_m-250__min_samples-15,optics__min_samples-20__xi-0p05__min_cluster_size_frac-0p01,0.3520780367490335
dbscan__eps_m-250__min_samples-15,optics__min_samples-30__xi-0p05__min_cluster_size_frac-0p01,0.42051900638743567
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-400__min_samples-5,0.055000609704698486
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-400__min_samples-10,0.14439582379939148
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-400__min_samples-15,0.40081721353505867
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-400__min_samples-25,0.6830767583247704
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-600__min_samples-5,0.24141901677590796
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-600__min_samples-10,0.10618049603186464
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-600__min_samples-15,0.12293322876642232
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-600__min_samples-25,0.30913273397562524
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-800__min_samples-5,0.2827253716184723
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-800__min_samples-10,0.2581911339642256
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-800__min_samples-15,0.18042714169369609
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-800__min_samples-25,0.13787136032173455
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1200__min_samples-5,0.31898471206687906
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1200__min_samples-10,0.288351973621793
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1200__min_samples-15,0.26634486352560577
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1200__min_samples-25,0.2549343425738584
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1600__min_samples-5,0.33356697639126276
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1600__min_samples-10,0.3247382163946054
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1600__min_samples-15,0.2970165580068709
dbscan__eps_m-250__min_samples-25,dbscan__eps_m-1600__min_samples-25,0.2824782465002792
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-eom,0.05007437184045399
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-leaf,0.02115417513404219
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-eom,0.0901521096333494
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-leaf,0.00989748055247686
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,0.2516400529170901
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-leaf,0.03673935433410877
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-eom,0.054433364157271714
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-leaf,0.042054113862977895
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,0.26142135335064737
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-leaf,0.04587520419064846
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,0.25271778761334107
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-leaf,0.07468429436670256
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-eom,0.3248640739520464
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-leaf,0.04265323606426229
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-eom,0.260994620722253
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-leaf,0.0611459520938816
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-eom,0.2566716042176336
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-leaf,0.07653550075709606
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-eom,0.3377338463554014
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-leaf,0.11869174188472593
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-eom,0.30662698901290086
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-leaf,0.1101685960729165
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-eom,0.2965783932943868
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-leaf,0.23162741656649655
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-eom,0.33963518427943407
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-leaf,0.2211770302837242
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-eom,0.3195966751234087
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-leaf,0.18500992523597304
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-eom,0.30000216402081886
dbscan__eps_m-250__min_samples-25,hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-leaf,0.2917415372831427
dbscan__eps_m-250__min_samples-25,optics__min_samples-10__xi-0p05__min_cluster_size_frac-0p01,0.07630226372068419
dbscan__eps_m-250__min_samples-25,optics__min_samples-20__xi-0p05__min_cluster_size_frac-0p01,0.20432134103460822
dbscan__eps_m-250__min_samples-25,optics__min_samples-30__xi-0p05__min_cluster_size_frac-0p01,0.27696787236794307
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-400__min_samples-10,0.2933753215313384
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-400__min_samples-15,0.13931095139469998
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-400__min_samples-25,0.10778296451758003
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-600__min_samples-5,0.2815948495912944
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-600__min_samples-10,0.6001328501666856
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-600__min_samples-15,0.5771956993156165
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-600__min_samples-25,0.16013627620756143
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-800__min_samples-5,0.23964348688253642
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-800__min_samples-10,0.2791941530351637
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-800__min_samples-15,0.3951278803180646
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-800__min_samples-25,0.5279562350587658
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1200__min_samples-5,0.2101389787982545
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1200__min_samples-10,0.22145545529928293
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1200__min_samples-15,0.23996757577693364
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1200__min_samples-25,0.26078815923768534
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1600__min_samples-5,0.1905664280730483
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1600__min_samples-10,0.19284037527091014
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1600__min_samples-15,0.2188043075990764
dbscan__eps_m-400__min_samples-5,dbscan__eps_m-1600__min_samples-25,0.2300749983030146
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-eom,0.4085164458024637
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-leaf,0.16342301791350636
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-eom,0.3486686707440775
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-leaf,0.12477347873831895
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,0.26227178363871606
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-leaf,0.08058426007996924
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-eom,0.41470234863139144
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-leaf,0.19358093159939715
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,0.24770964241349255
dbscan__eps_m-400__min_samples-5,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-leaf,0.1363682068467831
