escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac,bbox_mediana_km,bbox_max_km,chaining_proxy_max,ari_mediana_mismo_metodo,ari_top5_mismo_metodo,ari_perturbacion_25m,puntaje_espacial,rol
dbscan__eps_m-400__min_samples-10,DBSCAN,400.0,10,4365,69,1603,36.723940435280646,6,16.0,40.028985507246375,336,7.697594501718213,,,,,,,1.1611965315848,4.69089844206991,0.4457496826372989,0.23784419617277944,0.5336348585521675,0.8768595155427169,0.7773969600993536,NO_SELECCIONADO
hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,70,1480,33.90607101947308,20,34.5,41.21428571428572,103,2.359679266895762,20.0,leaf,0.909022303812106,83.0155979202773,,,2.055697263715929,9.013915199904007,1.523629756592184,0.19366422080206339,0.5245646958997137,0.6493011056486261,0.7751938033085473,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,99,955,21.87857961053837,10,20.0,34.44444444444444,340,7.789232531500573,10.0,eom,0.9048295338040124,80.29325513196481,,,1.7069799662793588,9.013915199904007,1.523629756592184,0.19613833679717754,0.4794303280947799,0.7624741270126562,0.7582044313345767,NO_SELECCIONADO
hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,19,1990,45.58991981672394,50,100.0,125.0,337,7.720504009163803,50.0,leaf,0.869299019722929,74.14736842105263,,,4.661037143062647,53.75158288347545,6.047525555782059,0.377108704536785,0.6643166275203447,0.9089212655655171,0.7540892539468242,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,73,1274,29.18671248568156,10,23.0,42.342465753424655,337,7.720504009163803,10.0,eom,0.8823564626188902,75.76835975412489,,,2.094615749437249,11.022965778561465,1.8371609630935775,0.2682855954076529,0.48679674261071176,0.6088420003425425,0.7494930016290502,NO_SELECCIONADO
hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,55,965,22.107674684994272,20,40.0,61.81818181818182,340,7.789232531500573,20.0,eom,0.9124367546062756,83.94117647058823,,,2.853561301229476,9.013915199904007,1.523629756592184,0.23349087096003215,0.5245257465807583,0.38765912928412644,0.7456354358418251,NO_SELECCIONADO
hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,18,1781,40.80183276059565,79,119.0,143.55555555555554,337,7.720504009163803,75.0,leaf,0.919483883709198,83.32043343653251,,,5.197291154878747,53.75158288347545,6.047525555782059,0.3369919750270187,0.6159176639422537,0.8536488685623391,0.7436579123465572,NO_SELECCIONADO
hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,15,2208,50.58419243986254,79,119.0,143.8,337,7.720504009163803,75.0,leaf,0.9038990663402514,81.64116828929068,,,4.726148448394284,53.75158288347545,6.047525555782059,0.39071971980301035,0.6325020877612989,0.9076142808513971,0.7405959907248445,NO_SELECCIONADO
dbscan__eps_m-400__min_samples-5,DBSCAN,400.0,5,4365,91,633,14.50171821305842,2,13.0,41.010989010989015,727,16.655211912943873,,,,,,,1.2224687038809225,15.116750947926448,0.5714867467823124,0.2300749983030146,0.47875759727809425,0.8007362858663463,0.7321160591107773,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,94,1969,45.10882016036656,10,21.0,25.48936170212766,93,2.1305841924398625,10.0,leaf,0.8641965706501006,71.86978297161937,,,1.5171103846232954,11.022965778561465,1.8371609630935775,0.17281512320802728,0.5052473947163092,0.701436942143696,0.7257473638356768,NO_SELECCIONADO
